tau,coef,ci_lo,ci_hi,group,coef_q1,coef_q2,coef_q3,coef_q4,ci_lo_q1,ci_hi_q1,ci_lo_q2,ci_hi_q2,ci_lo_q3,ci_hi_q3,ci_lo_q4,ci_hi_q4,tau_q1,tau_q2,tau_q3,tau_q4,ref_q1,ref_q2,ref_q3,ref_q4
-4,.0017367805,-.028469516,.031943079,Q1 (low),.0017367805,,,,-.028469516,.031943079,,,,,,,-4,,,,,,,
-3,.0027856147,-.011569088,.017140318,Q1 (low),.0027856147,,,,-.011569088,.017140318,,,,,,,-3,,,,,,,
-2,-.0024264469,-.011707404,.0068545104,Q1 (low),-.0024264469,,,,-.011707404,.0068545104,,,,,,,-2,,,,,,,
-1,0,0,0,Q1 (low),0,,,,0,0,,,,,,,-1,,,,0,,,
0,.00087807397,-.0078278324,.0095839808,Q1 (low),.00087807397,,,,-.0078278324,.0095839808,,,,,,,0,,,,,,,
1,.002095547,-.0077984137,.011989508,Q1 (low),.002095547,,,,-.0077984137,.011989508,,,,,,,1,,,,,,,
2,.0045061144,-.012458667,.021470897,Q1 (low),.0045061144,,,,-.012458667,.021470897,,,,,,,2,,,,,,,
3,.0082639493,-.012613434,.029141333,Q1 (low),.0082639493,,,,-.012613434,.029141333,,,,,,,3,,,,,,,
4,-.0081673609,-.030385392,.01405067,Q1 (low),-.0081673609,,,,-.030385392,.01405067,,,,,,,4,,,,,,,
-4,-.019374833,-.050568525,.011818857,Q2 (low-med),,-.019374833,,,,,-.050568525,.011818857,,,,,,-4,,,,,,
-3,.00084735441,-.017782377,.019477086,Q2 (low-med),,.00084735441,,,,,-.017782377,.019477086,,,,,,-3,,,,,,
-2,.0048446455,-.0035934758,.013282767,Q2 (low-med),,.0048446455,,,,,-.0035934758,.013282767,,,,,,-2,,,,,,
-1,0,0,0,Q2 (low-med),,0,,,,,0,0,,,,,,-1,,,,0,,
0,.0017617708,-.0054417984,.0089653404,Q2 (low-med),,.0017617708,,,,,-.0054417984,.0089653404,,,,,,0,,,,,,
1,-.011970652,-.027236434,.0032951296,Q2 (low-med),,-.011970652,,,,,-.027236434,.0032951296,,,,,,1,,,,,,
2,-.030131569,-.051097792,-.0091653485,Q2 (low-med),,-.030131569,,,,,-.051097792,-.0091653485,,,,,,2,,,,,,
3,-.039559279,-.068468504,-.010650056,Q2 (low-med),,-.039559279,,,,,-.068468504,-.010650056,,,,,,3,,,,,,
4,-.047931869,-.084382631,-.01148111,Q2 (low-med),,-.047931869,,,,,-.084382631,-.01148111,,,,,,4,,,,,,
-4,-.016855797,-.037892468,.0041808719,Q3 (med-high),,,-.016855797,,,,,,-.037892468,.0041808719,,,,,-4,,,,,
-3,-.0077078324,-.026111024,.01069536,Q3 (med-high),,,-.0077078324,,,,,,-.026111024,.01069536,,,,,-3,,,,,
-2,-.0050860308,-.019216228,.0090441676,Q3 (med-high),,,-.0050860308,,,,,,-.019216228,.0090441676,,,,,-2,,,,,
-1,0,0,0,Q3 (med-high),,,0,,,,,,0,0,,,,,-1,,,,0,
0,-.0033928114,-.01416489,.0073792674,Q3 (med-high),,,-.0033928114,,,,,,-.01416489,.0073792674,,,,,0,,,,,
1,-.0072588939,-.02514106,.010623273,Q3 (med-high),,,-.0072588939,,,,,,-.02514106,.010623273,,,,,1,,,,,
2,-.0095972018,-.032262206,.013067804,Q3 (med-high),,,-.0095972018,,,,,,-.032262206,.013067804,,,,,2,,,,,
3,-.0242854,-.049880646,.001309845,Q3 (med-high),,,-.0242854,,,,,,-.049880646,.001309845,,,,,3,,,,,
4,-.031538926,-.069069967,.0059921136,Q3 (med-high),,,-.031538926,,,,,,-.069069967,.0059921136,,,,,4,,,,,
-4,-.0028352086,-.040155914,.034485497,Q4 (high),,,,-.0028352086,,,,,,,-.040155914,.034485497,,,,-4,,,,
-3,.00027093902,-.011589002,.01213088,Q4 (high),,,,.00027093902,,,,,,,-.011589002,.01213088,,,,-3,,,,
-2,-.0048689633,-.011101859,.0013639313,Q4 (high),,,,-.0048689633,,,,,,,-.011101859,.0013639313,,,,-2,,,,
-1,0,0,0,Q4 (high),,,,0,,,,,,,0,0,,,,-1,,,,0
0,.00041456803,-.0083595542,.0091886902,Q4 (high),,,,.00041456803,,,,,,,-.0083595542,.0091886902,,,,0,,,,
1,-.0048419693,-.01800134,.0083174026,Q4 (high),,,,-.0048419693,,,,,,,-.01800134,.0083174026,,,,1,,,,
2,-.014102998,-.045956418,.01775042,Q4 (high),,,,-.014102998,,,,,,,-.045956418,.01775042,,,,2,,,,
3,-.021085676,-.065797202,.023625856,Q4 (high),,,,-.021085676,,,,,,,-.065797202,.023625856,,,,3,,,,
4,-.057437599,-.14986427,.034989074,Q4 (high),,,,-.057437599,,,,,,,-.14986427,.034989074,,,,4,,,,
