tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,-.015207817,-.082010575,.051594943,Upzoned (risk ↑),-4.1199999,-.015207817,,-.082010575,.051594943,,,-4.1199999,
-3,-.00013535839,-.065234385,.064963669,Upzoned (risk ↑),-3.1199999,-.00013535839,,-.065234385,.064963669,,,-3.1199999,
-2,-.017372571,-.06680315,.032058008,Upzoned (risk ↑),-2.1199999,-.017372571,,-.06680315,.032058008,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,-.013833337,-.038698636,.01103196,Upzoned (risk ↑),-.12,-.013833337,,-.038698636,.01103196,,,-.12,
1,-.0087309573,-.040189669,.022727756,Upzoned (risk ↑),.88,-.0087309573,,-.040189669,.022727756,,,.88,
2,.0024840354,-.045419764,.050387833,Upzoned (risk ↑),1.88,.0024840354,,-.045419764,.050387833,,,1.88,
3,-.0012998793,-.058637079,.056037318,Upzoned (risk ↑),2.8800001,-.0012998793,,-.058637079,.056037318,,,2.8800001,
4,-.01023192,-.077099726,.05663589,Upzoned (risk ↑),3.8800001,-.01023192,,-.077099726,.05663589,,,3.8800001,
-4,-.035435509,-.098075941,.027204925,Downzoned (risk ↓),-3.8800001,,-.035435509,,,-.098075941,.027204925,,-3.8800001
-3,-.05599881,-.11593277,.0039351531,Downzoned (risk ↓),-2.8800001,,-.05599881,,,-.11593277,.0039351531,,-2.8800001
-2,-.019826757,-.069332905,.029679392,Downzoned (risk ↓),-1.88,,-.019826757,,,-.069332905,.029679392,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,-.029081691,-.092317447,.034154065,Downzoned (risk ↓),.12,,-.029081691,,,-.092317447,.034154065,,.12
1,-.064795658,-.12583728,-.0037540304,Downzoned (risk ↓),1.12,,-.064795658,,,-.12583728,-.0037540304,,1.12
2,-.092354119,-.17644893,-.0082593076,Downzoned (risk ↓),2.1199999,,-.092354119,,,-.17644893,-.0082593076,,2.1199999
3,-.048186447,-.12883335,.032460451,Downzoned (risk ↓),3.1199999,,-.048186447,,,-.12883335,.032460451,,3.1199999
4,-.064935729,-.20183015,.071958698,Downzoned (risk ↓),4.1199999,,-.064935729,,,-.20183015,.071958698,,4.1199999
