tau,coef,ci_lo,ci_hi,group,tau_plot,coef_rep,coef_dem,ci_lo_rep,ci_hi_rep,ci_lo_dem,ci_hi_dem,tau_rep,tau_dem
-4,.86106563,-.094514251,1.8166455,Republican,-4.1199999,.86106563,,-.094514251,1.8166455,,,-4.1199999,
-3,-.29554346,-.85551363,.26442668,Republican,-3.1199999,-.29554346,,-.85551363,.26442668,,,-3.1199999,
-2,-.43137431,-.75609201,-.10665666,Republican,-2.1199999,-.43137431,,-.75609201,-.10665666,,,-2.1199999,
-1,0,0,0,Republican,-1.12,0,,0,0,,,-1.12,
0,.11341258,-.48665243,.71347761,Republican,-.12,.11341258,,-.48665243,.71347761,,,-.12,
1,-.26542783,-1.1085755,.57771981,Republican,.88,-.26542783,,-1.1085755,.57771981,,,.88,
2,.3406609,-.850995,1.5323168,Republican,1.88,.3406609,,-.850995,1.5323168,,,1.88,
3,-.43560353,-2.7368886,1.8656818,Republican,2.8800001,-.43560353,,-2.7368886,1.8656818,,,2.8800001,
4,-1.3877898,-4.585917,1.8103374,Republican,3.8800001,-1.3877898,,-4.585917,1.8103374,,,3.8800001,
-4,-3.0804515,-6.529901,.36899844,Democratic,-3.8800001,,-3.0804515,,,-6.529901,.36899844,,-3.8800001
-3,1.8850334,1.008639,2.7614279,Democratic,-2.8800001,,1.8850334,,,1.008639,2.7614279,,-2.8800001
-2,.87709242,.15621094,1.5979739,Democratic,-1.88,,.87709242,,,.15621094,1.5979739,,-1.88
-1,0,0,0,Democratic,-.88,,0,,,0,0,,-.88
0,-.97904462,-1.4486679,-.50942129,Democratic,.12,,-.97904462,,,-1.4486679,-.50942129,,.12
1,-2.937022,-4.2827921,-1.5912517,Democratic,1.12,,-2.937022,,,-4.2827921,-1.5912517,,1.12
2,-5.6398621,-8.934948,-2.3447754,Democratic,2.1199999,,-5.6398621,,,-8.934948,-2.3447754,,2.1199999
3,-7.0458598,-10.695871,-3.3958483,Democratic,3.1199999,,-7.0458598,,,-10.695871,-3.3958483,,3.1199999
4,-12.715652,-14.973578,-10.457726,Democratic,4.1199999,,-12.715652,,,-14.973578,-10.457726,,4.1199999
