tau,coef,ci_lo,ci_hi,group,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
-4,-.0061181658,-.02867979,.016443457,Upzoned (risk ↑),-4.1199999,-.0061181658,,-.02867979,.016443457,,,-4.1199999,
-3,.0055164252,-.0074060345,.018438885,Upzoned (risk ↑),-3.1199999,.0055164252,,-.0074060345,.018438885,,,-3.1199999,
-2,-.0017624163,-.0068527395,.0033279066,Upzoned (risk ↑),-2.1199999,-.0017624163,,-.0068527395,.0033279066,,,-2.1199999,
-1,0,0,0,Upzoned (risk ↑),-1.12,0,,0,0,,,-1.12,
0,.004409641,-.0025487351,.011368017,Upzoned (risk ↑),-.12,.004409641,,-.0025487351,.011368017,,,-.12,
1,.00082485582,-.011580144,.013229856,Upzoned (risk ↑),.88,.00082485582,,-.011580144,.013229856,,,.88,
2,.00042731781,-.019549431,.020404067,Upzoned (risk ↑),1.88,.00042731781,,-.019549431,.020404067,,,1.88,
3,-.00062071293,-.024420338,.023178911,Upzoned (risk ↑),2.8800001,-.00062071293,,-.024420338,.023178911,,,2.8800001,
4,-.014202229,-.047610831,.019206373,Upzoned (risk ↑),3.8800001,-.014202229,,-.047610831,.019206373,,,3.8800001,
-4,-.0046181427,-.032794841,.023558555,Downzoned (risk ↓),-3.8800001,,-.0046181427,,,-.032794841,.023558555,,-3.8800001
-3,-.00050794164,-.020510703,.019494819,Downzoned (risk ↓),-2.8800001,,-.00050794164,,,-.020510703,.019494819,,-2.8800001
-2,-.0021483088,-.013539878,.0092432601,Downzoned (risk ↓),-1.88,,-.0021483088,,,-.013539878,.0092432601,,-1.88
-1,0,0,0,Downzoned (risk ↓),-.88,,0,,,0,0,,-.88
0,.00075909781,-.011411108,.012929304,Downzoned (risk ↓),.12,,.00075909781,,,-.011411108,.012929304,,.12
1,-.0016685957,-.018097272,.014760082,Downzoned (risk ↓),1.12,,-.0016685957,,,-.018097272,.014760082,,1.12
2,-.0057851011,-.02978722,.018217018,Downzoned (risk ↓),2.1199999,,-.0057851011,,,-.02978722,.018217018,,2.1199999
3,-.0085131219,-.037327066,.020300822,Downzoned (risk ↓),3.1199999,,-.0085131219,,,-.037327066,.020300822,,3.1199999
4,-.023682196,-.060185626,.012821236,Downzoned (risk ↓),4.1199999,,-.023682196,,,-.060185626,.012821236,,4.1199999
