excluded_state,coef_p4,se_p4,ci_lo_p4,ci_hi_p4,n_obs
1,-.028683214,.011293462,-.050818399,-.006548028,225392
6,-.025788665,.017717168,-.060514312,.0089369835,188108
9,-.03096289,.011241416,-.052996065,-.0089297146,222843
10,-.028647667,.011301545,-.050798696,-.0064966376,225453
11,-.028117923,.011484497,-.050627537,-.0056083095,227063
12,-.016792312,.0092508141,-.034923907,.0013392825,198066
13,-.028617924,.011303465,-.050772715,-.0064631347,226239
22,-.028279262,.011284007,-.050395913,-.0061626085,222443
23,-.02872646,.011295496,-.050865632,-.0065872888,221500
24,-.028954079,.011505476,-.051504813,-.0064033465,213398
25,-.031742256,.011491442,-.05426548,-.009219029,217372
28,-.028697489,.011295893,-.050837439,-.0065575377,226864
33,-.028959766,.011359897,-.051225163,-.0066943686,226038
34,-.027388187,.011568006,-.050061479,-.004714895,206675
36,-.032913771,.012008906,-.056451228,-.0093763145,204928
37,-.028551206,.011377096,-.050850313,-.0062520974,220663
41,-.028678915,.011295008,-.050817128,-.0065406994,223115
42,-.029875098,.011649758,-.052708622,-.0070415717,223378
44,-.028256588,.011537866,-.050870806,-.0056423694,224267
45,-.029196827,.011310387,-.051365186,-.007028467,224277
48,-.032150928,.011559874,-.054808281,-.0094935773,216850
51,-.030407412,.012203021,-.054325335,-.0064894902,216584
53,-.028588196,.011312808,-.050761301,-.0064150924,214528
