"","count","mean","sd","min","p25","p50","p75","max"
"Home Value Index (Dec 2022 $)","228005","486214.62","416676.37","32424.71","234258.39","374152.97","594862.94","8125586.00"
"ln(Real ZHVI)","228005","12.85","0.67","11.36","12.36","12.83","13.30","14.56"
"ln(NFIP Policies + 1)","228005","2.46","1.80","0.00","0.98","2.08","3.71","7.87"
"ln(NFIP Claims + 1)","228005","0.11","0.46","0.00","0.00","0.00","0.00","8.16"
"Post-LOMR","228005","0.04","0.19","0.00","0.00","0.00","0.00","1.00"
"Ever Treated","228005","0.13","0.34","0.00","0.00","0.00","0.00","1.00"
"Policy Intensity (per 1,000)","228005","5.93","21.07","0.00","0.18","0.68","4.13","716.99"
"Treatment Intensity (per 1,000)","228005","3.60","32.54","0.00","0.00","0.00","0.00","944.01"
"Upzoned (into SFHA)","228005","0.05","0.21","0.00","0.00","0.00","0.00","1.00"
"Downzoned (out of SFHA)","228005","0.03","0.18","0.00","0.00","0.00","0.00","1.00"
"SFHA-Crossing LOMR","228005","0.08","0.27","0.00","0.00","0.00","0.00","1.00"
"County Unemp. Rate (%)","228005","6.47","2.89","1.70","4.23","5.80","8.27","29.80"
"NFIP Policies (qtr avg)","228005","65.21","164.11","0.00","1.67","7.00","39.67","2624.67"
"NFIP Avg Premium ($)","228005","710.36","631.82","0.00","357.67","565.67","914.10","19570.33"
"NFIP Claims (qtr avg)","228005","1.13","25.22","0.00","0.00","0.00","0.00","3498.00"
"Republican County","222846","0.50","0.50","0.00","0.00","1.00","1.00","1.00"
"R Two-Party Vote Share","222846","0.42","0.15","0.06","0.32","0.43","0.52","0.89"
"Disclosure: Strict (9 states)","228005","0.29","0.45","0.00","0.00","0.00","1.00","1.00"
"Disclosure: Broad (13 states)","228005","0.61","0.49","0.00","0.00","1.00","1.00","1.00"
"Zip Population","228005","19717.91","17846.46","25.00","5236.00","15229.00","29309.00","109931.00"
"Zip Pop. Density","228005","4960.31","11251.76","0.90","225.60","1571.80","4837.00","143070.70"
"SFHA Zone Share","228005","0.35","0.31","0.00","0.00","0.33","0.60","1.00"
